2016-07-19 20:53:18 startup archives install
2016-07-19 20:53:18 install base-passwd:armhf <none> 3.5.39
2016-07-19 20:53:18 status half-installed base-passwd:armhf 3.5.39
2016-07-19 20:53:18 status unpacked base-passwd:armhf 3.5.39
2016-07-19 20:53:18 status unpacked base-passwd:armhf 3.5.39
2016-07-19 20:53:18 configure base-passwd:armhf 3.5.39 3.5.39
2016-07-19 20:53:18 status unpacked base-passwd:armhf 3.5.39
2016-07-19 20:53:18 status half-configured base-passwd:armhf 3.5.39
2016-07-19 20:53:18 status installed base-passwd:armhf 3.5.39
2016-07-19 20:53:18 startup archives install
2016-07-19 20:53:18 install base-files:armhf <none> 9.4ubuntu4
2016-07-19 20:53:18 status half-installed base-files:armhf 9.4ubuntu4
2016-07-19 20:53:18 status unpacked base-files:armhf 9.4ubuntu4
2016-07-19 20:53:18 status unpacked base-files:armhf 9.4ubuntu4
2016-07-19 20:53:18 configure base-files:armhf 9.4ubuntu4 9.4ubuntu4
2016-07-19 20:53:18 status unpacked base-files:armhf 9.4ubuntu4
2016-07-19 20:53:18 status unpacked base-files:armhf 9.4ubuntu4
2016-07-19 20:53:18 status unpacked base-files:armhf 9.4ubuntu4
2016-07-19 20:53:18 status unpacked base-files:armhf 9.4ubuntu4
2016-07-19 20:53:18 status unpacked base-files:armhf 9.4ubuntu4
2016-07-19 20:53:18 status unpacked base-files:armhf 9.4ubuntu4
2016-07-19 20:53:18 status unpacked base-files:armhf 9.4ubuntu4
2016-07-19 20:53:18 status unpacked base-files:armhf 9.4ubuntu4
2016-07-19 20:53:18 status unpacked base-files:armhf 9.4ubuntu4
2016-07-19 20:53:18 status unpacked base-files:armhf 9.4ubuntu4
2016-07-19 20:53:18 status unpacked base-files:armhf 9.4ubuntu4
2016-07-19 20:53:18 status half-configured base-files:armhf 9.4ubuntu4
2016-07-19 20:53:18 status installed base-files:armhf 9.4ubuntu4
2016-07-19 20:53:18 startup archives install
2016-07-19 20:53:18 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2016-07-19 20:53:18 status half-configured dpkg 1.18.4ubuntu1
2016-07-19 20:53:18 status unpacked dpkg 1.18.4ubuntu1
2016-07-19 20:53:18 status half-installed dpkg 1.18.4ubuntu1
2016-07-19 20:53:19 status half-installed dpkg 1.18.4ubuntu1
2016-07-19 20:53:19 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-07-19 20:53:19 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-07-19 20:53:19 configure dpkg:armhf 1.18.4ubuntu1 1.18.4ubuntu1
2016-07-19 20:53:19 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-07-19 20:53:19 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-07-19 20:53:19 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-07-19 20:53:19 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-07-19 20:53:19 status unpacked dpkg:armhf 1.18.4ubuntu1
2016-07-19 20:53:19 status half-configured dpkg:armhf 1.18.4ubuntu1
2016-07-19 20:53:19 status installed dpkg:armhf 1.18.4ubuntu1
2016-07-19 20:53:19 startup archives install
2016-07-19 20:53:19 install libc6:armhf <none> 2.23-0ubuntu3
2016-07-19 20:53:19 status half-installed libc6:armhf 2.23-0ubuntu3
2016-07-19 20:53:19 status unpacked libc6:armhf 2.23-0ubuntu3
2016-07-19 20:53:19 status unpacked libc6:armhf 2.23-0ubuntu3
2016-07-19 20:53:19 configure libc6:armhf 2.23-0ubuntu3 2.23-0ubuntu3
2016-07-19 20:53:19 status unpacked libc6:armhf 2.23-0ubuntu3
2016-07-19 20:53:19 status unpacked libc6:armhf 2.23-0ubuntu3
2016-07-19 20:53:19 status half-configured libc6:armhf 2.23-0ubuntu3
2016-07-19 20:53:20 status installed libc6:armhf 2.23-0ubuntu3
2016-07-19 20:53:20 startup archives install
2016-07-19 20:53:20 install perl-base:armhf <none> 5.22.1-9
2016-07-19 20:53:20 status half-installed perl-base:armhf 5.22.1-9
2016-07-19 20:53:20 status unpacked perl-base:armhf 5.22.1-9
2016-07-19 20:53:20 status unpacked perl-base:armhf 5.22.1-9
2016-07-19 20:53:20 configure perl-base:armhf 5.22.1-9 5.22.1-9
